NU_ID;NU_NR;HH021;HH071_1;HH071_2;HH071_3;HH071_4;ADR_KEITE
30275800.0;302758.0;1.0;2.0;;;;NE
20047000.0;200470.0;1.0;2.0;;;;NE
40263400.0;402634.0;1.0;2.0;;;;NE
40136700.0;401367.0;1.0;2.0;;;;NE
10002500.0;100025.0;1.0;2.0;;;;NE
20309900.0;203099.0;5.0;2.0;;;;NE
20246800.0;202468.0;1.0;2.0;;;;NE
20026800.0;200268.0;2.0;1.0;;7.0;12.0;NE
40053900.0;400539.0;1.0;2.0;;;;NE
20226600.0;202266.0;1.0;2.0;;;;NE
20113000.0;201130.0;1.0;2.0;;;;NE
20283100.0;202831.0;1.0;2.0;;;;NE
10330600.0;103306.0;1.0;2.0;;;;NE
40199900.0;401999.0;2.0;1.0;;3.0;12.0;NE
10010600.0;100106.0;1.0;2.0;;;;NE
20283000.0;202830.0;1.0;2.0;;;;NE
40340100.0;403401.0;1.0;2.0;;;;NE
10014900.0;100149.0;1.0;2.0;;;;NE
20034200.0;200342.0;1.0;2.0;;;;NE
40145700.0;401457.0;2.0;1.0;;7.0;12.0;NE
20306300.0;203063.0;1.0;2.0;;;;NE
30271900.0;302719.0;1.0;2.0;;;;NE
20201600.0;202016.0;1.0;2.0;;;;NE
20291000.0;202910.0;5.0;2.0;;;;NE
30292700.0;302927.0;1.0;2.0;;;;NE
30300400.0;303004.0;1.0;2.0;;;;NE
10070900.0;100709.0;1.0;2.0;;;;NE
10129900.0;101299.0;1.0;2.0;;;;NE
30119100.0;301191.0;1.0;2.0;;;;NE
20198500.0;201985.0;1.0;2.0;;;;NE
40258600.0;402586.0;5.0;2.0;;;;NE
40303500.0;403035.0;5.0;2.0;;;;NE
30000200.0;300002.0;1.0;2.0;;;;NE
20158800.0;201588.0;1.0;2.0;;;;NE
20239700.0;202397.0;1.0;2.0;;;;NE
40016300.0;400163.0;1.0;2.0;;;;NE
10274200.0;102742.0;1.0;2.0;;;;NE
10253500.0;102535.0;5.0;2.0;;;;NE
30124800.0;301248.0;1.0;2.0;;;;NE
40142700.0;401427.0;1.0;2.0;;;;NE
20167300.0;201673.0;1.0;2.0;;;;NE
20332600.0;203326.0;1.0;2.0;;;;NE
10125400.0;101254.0;1.0;2.0;;;;NE
10274900.0;102749.0;1.0;2.0;;;;NE
10135800.0;101358.0;1.0;2.0;505.0;;;NE
30138500.0;301385.0;1.0;2.0;;;;NE
10265500.0;102655.0;1.0;2.0;;;;NE
20118300.0;201183.0;2.0;1.0;;;12.0;NE
20235900.0;202359.0;1.0;2.0;;;;NE
20166900.0;201669.0;1.0;2.0;;;;NE
30308100.0;303081.0;2.0;1.0;100.0;;12.0;NE
20260300.0;202603.0;1.0;2.0;;;;NE
40015200.0;400152.0;1.0;2.0;;;;NE
20234600.0;202346.0;1.0;2.0;;;;NE
40326100.0;403261.0;1.0;2.0;;;;NE
10013200.0;100132.0;1.0;2.0;;;;NE
20212100.0;202121.0;1.0;2.0;;;;NE
20276700.0;202767.0;1.0;2.0;;;;NE
40268400.0;402684.0;1.0;2.0;;;;NE
20035600.0;200356.0;1.0;2.0;;;;NE
20145800.0;201458.0;1.0;2.0;;;;NE
20047900.0;200479.0;1.0;2.0;;;;NE
10117400.0;101174.0;1.0;2.0;;;;NE
10189500.0;101895.0;1.0;2.0;;;;NE
20166200.0;201662.0;1.0;2.0;;;;NE
30039000.0;300390.0;1.0;2.0;;;;NE
20015800.0;200158.0;1.0;2.0;;;;NE
40132700.0;401327.0;2.0;1.0;;2.0;12.0;NE
10216900.0;102169.0;1.0;2.0;;;;NE
10125300.0;101253.0;1.0;2.0;;;;NE
10046400.0;100464.0;1.0;2.0;;;;NE
